id_ubigeo,ubigeo_reniec,ubigeo_inei,departamento_inei,departamento,provincia_inei,provincia,distrito,region,macroregion_inei,macroregion_minsa,iso_3166_2,fips,superficie,altitud,latitud,longitud,Frontera
50,10408.0,10508,1,AMAZONAS,105,LUYA,LONYA CHICO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,84.0,2329.0,-6.2297,-77.955,NO
51,10409.0,10509,1,AMAZONAS,105,LUYA,LUYA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,91.0,2359.0,-6.1642,-77.9442,NO
52,10410.0,10510,1,AMAZONAS,105,LUYA,LUYA VIEJO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,74.0,2924.0,-6.1275,-78.085,NO
57,10423.0,10515,1,AMAZONAS,105,LUYA,PROVIDENCIA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,71.0,1784.0,-6.2972,-78.2408,NO
64,10421.0,10522,1,AMAZONAS,105,LUYA,TINGO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,103.0,1800.0,-6.3797,-77.9058,NO
65,10422.0,10523,1,AMAZONAS,105,LUYA,TRITA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,13.0,2888.0,-6.1519,-77.9808,NO
85,20101.0,20101,2,ANCASH,201,HUARAZ,HUARAZ,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,433.0,3073.0,-9.5297,-77.5292,NO
86,20103.0,20102,2,ANCASH,201,HUARAZ,COCHABAMBA,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,136.0,2135.0,-9.495,-77.8594,NO
89,20102.0,20105,2,ANCASH,201,HUARAZ,INDEPENDENCIA,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,343.0,3047.0,-9.5144,-77.5325,NO
105,21604.0,20304,2,ANCASH,203,ANTONIO RAYMONDI,CHINGAS,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,49.0,2866.0,-9.1186,-76.9919,NO
106,21605.0,20305,2,ANCASH,203,ANTONIO RAYMONDI,MIRGAS,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,176.0,3147.0,-9.0786,-77.0925,NO
107,21606.0,20306,2,ANCASH,203,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,103.0,3503.0,-9.1753,-77.0028,NO
108,21801.0,20401,2,ANCASH,204,ASUNCION,CHACAS,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,448.0,3387.0,-9.1622,-77.3658,NO
109,21802.0,20402,2,ANCASH,204,ASUNCION,ACOCHACA,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,81.0,2864.0,-9.1147,-77.3683,NO
113,20304.0,20504,2,ANCASH,205,BOLOGNESI,AQUIA,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,435.0,3356.0,-10.0744,-77.145,NO
114,20305.0,20505,2,ANCASH,205,BOLOGNESI,CAJACAY,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,193.0,2616.0,-10.1553,-77.4397,NO
125,20401.0,20601,2,ANCASH,206,CARHUAZ,CARHUAZ,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,195.0,2663.0,-9.2814,-77.6467,NO
126,20402.0,20602,2,ANCASH,206,CARHUAZ,ACOPAMPA,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,14.0,2692.0,-9.2947,-77.6253,NO
127,20403.0,20603,2,ANCASH,206,CARHUAZ,AMASHCA,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,12.0,2905.0,-9.2392,-77.6467,NO
129,20405.0,20605,2,ANCASH,206,CARHUAZ,ATAQUERO,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,47.0,2749.0,-9.2622,-77.6917,NO
130,20406.0,20606,2,ANCASH,206,CARHUAZ,MARCARA,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,157.0,2767.0,-9.3228,-77.6036,NO
131,20407.0,20607,2,ANCASH,206,CARHUAZ,PARIAHUANCA,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,12.0,2830.0,-9.3653,-77.5808,NO
133,20409.0,20609,2,ANCASH,206,CARHUAZ,SHILLA,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,130.0,3036.0,-9.2317,-77.625,NO
134,20410.0,20610,2,ANCASH,206,CARHUAZ,TINCO,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,15.0,2606.0,-9.2708,-77.6775,NO
135,20411.0,20611,2,ANCASH,206,CARHUAZ,YUNGAR,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,46.0,2836.0,-9.3775,-77.5922,NO
136,21701.0,20701,2,ANCASH,207,CARLOS FERMIN FITZCARRALD,SAN LUIS,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,256.0,3145.0,-9.0942,-77.3289,NO
137,21703.0,20702,2,ANCASH,207,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,197.0,2890.0,-8.9758,-77.1892,NO
171,20701.0,21201,2,ANCASH,212,HUAYLAS,CARAZ,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,247.0,2273.0,-9.0486,-77.8047,NO
172,20702.0,21202,2,ANCASH,212,HUAYLAS,HUALLANCA,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,179.0,1391.0,-8.8189,-77.8631,NO
176,20706.0,21206,2,ANCASH,212,HUAYLAS,PAMPAROMAS,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,496.0,2772.0,-9.0733,-77.9817,NO
177,20707.0,21207,2,ANCASH,212,HUAYLAS,PUEBLO LIBRE,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,131.0,2485.0,-9.11,-77.8019,NO
178,20708.0,21208,2,ANCASH,212,HUAYLAS,SANTA CRUZ,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,358.0,2890.0,-8.9519,-77.815,NO
200,21002.0,21502,2,ANCASH,215,PALLASCA,BOLOGNESI,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,87.0,2931.0,-8.3506,-78.0506,NO
201,21003.0,21503,2,ANCASH,215,PALLASCA,CONCHUCOS,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,585.0,3206.0,-8.2686,-77.8528,NO
202,21004.0,21504,2,ANCASH,215,PALLASCA,HUACASCHUQUE,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,64.0,3140.0,-8.3064,-78.0047,NO
244,21502.0,22002,2,ANCASH,220,YUNGAY,CASCAPARA,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,138.0,2742.0,-9.2264,-77.7172,NO
245,21503.0,22003,2,ANCASH,220,YUNGAY,MANCOS,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,64.0,2542.0,-9.19,-77.7122,NO
246,21504.0,22004,2,ANCASH,220,YUNGAY,MATACOTO,ANCASH,CENTRO,MACROREGION NORTE,PE-ANC,2,44.0,2486.0,-9.1769,-77.7472,NO
592,60602.0,60402,6,CAJAMARCA,604,CHOTA,ANGUIA,CAJAMARCA,NORTE,MACROREGION NORTE,PE-CAJ,6,123.0,2620.0,-6.3419,-78.6053,NO
597,60603.0,60407,6,CAJAMARCA,604,CHOTA,COCHABAMBA,CAJAMARCA,NORTE,MACROREGION NORTE,PE-CAJ,6,130.0,1688.0,-6.4739,-78.8858,NO
598,60604.0,60408,6,CAJAMARCA,604,CHOTA,CONCHAN,CAJAMARCA,NORTE,MACROREGION NORTE,PE-CAJ,6,180.0,2321.0,-6.4447,-78.6558,NO
619,60502.0,60602,6,CAJAMARCA,606,CUTERVO,CALLAYUC,CAJAMARCA,NORTE,MACROREGION NORTE,PE-CAJ,6,316.0,1558.0,-6.1811,-78.9106,NO
620,60504.0,60603,6,CAJAMARCA,606,CUTERVO,CHOROS,CAJAMARCA,NORTE,MACROREGION NORTE,PE-CAJ,6,277.0,474.0,-5.9,-78.6939,NO
621,60503.0,60604,6,CAJAMARCA,606,CUTERVO,CUJILLO,CAJAMARCA,NORTE,MACROREGION NORTE,PE-CAJ,6,109.0,1598.0,-6.1069,-78.5739,NO
923,90202.0,100202,10,HUANUCO,1002,AMBO,CAYNA,HUANUCO,CENTRO,MACROREGION CENTRO,PE-HUC,10,166.0,3332.0,-10.2725,-76.3883,NO
924,90203.0,100203,10,HUANUCO,1002,AMBO,COLPAS,HUANUCO,CENTRO,MACROREGION CENTRO,PE-HUC,10,174.0,2740.0,-10.2683,-76.4153,NO
925,90204.0,100204,10,HUANUCO,1002,AMBO,CONCHAMARCA,HUANUCO,CENTRO,MACROREGION CENTRO,PE-HUC,10,105.0,2185.0,-10.0358,-76.2169,NO
993,100101.0,110101,11,ICA,1101,ICA,ICA,ICA,CENTRO,MACROREGION CENTRO,PE-ICA,11,888.0,432.0,-14.0636,-75.7292,NO
994,100102.0,110102,11,ICA,1101,ICA,LA TINGUIÑA,ICA,CENTRO,MACROREGION CENTRO,PE-ICA,11,98.0,463.0,-14.0333,-75.7106,NO
1007,100201.0,110201,11,ICA,1102,CHINCHA,CHINCHA ALTA,ICA,CENTRO,MACROREGION CENTRO,PE-ICA,11,238.0,140.0,-13.4183,-76.1325,NO
1008,100209.0,110202,11,ICA,1102,CHINCHA,ALTO LARAN,ICA,CENTRO,MACROREGION CENTRO,PE-ICA,11,299.0,156.0,-13.4425,-76.0833,NO
1009,100202.0,110203,11,ICA,1102,CHINCHA,CHAVIN,ICA,CENTRO,MACROREGION CENTRO,PE-ICA,11,426.0,3183.0,-13.0764,-75.9131,NO
1010,100203.0,110204,11,ICA,1102,CHINCHA,CHINCHA BAJA,ICA,CENTRO,MACROREGION CENTRO,PE-ICA,11,73.0,44.0,-13.4594,-76.1656,NO
1011,100204.0,110205,11,ICA,1102,CHINCHA,EL CARMEN,ICA,CENTRO,MACROREGION CENTRO,PE-ICA,11,790.0,160.0,-13.4994,-76.0578,NO
1019,100302.0,110302,11,ICA,1103,NAZCA,CHANGUILLO,ICA,CENTRO,MACROREGION CENTRO,PE-ICA,11,947.0,260.0,-14.6647,-75.2225,NO
1020,100303.0,110303,11,ICA,1103,NAZCA,EL INGENIO,ICA,CENTRO,MACROREGION CENTRO,PE-ICA,11,552.0,463.0,-14.6453,-75.0583,NO
1021,100304.0,110304,11,ICA,1103,NAZCA,MARCONA,ICA,CENTRO,MACROREGION CENTRO,PE-ICA,11,1955.0,36.0,-15.3619,-75.1658,NO
1036,110101.0,120101,12,JUNIN,1201,HUANCAYO,HUANCAYO,JUNIN,CENTRO,MACROREGION CENTRO,PE-JUN,12,238.0,3294.0,-12.0708,-75.2089,NO
1041,110109.0,120108,12,JUNIN,1201,HUANCAYO,CHONGOS ALTO,JUNIN,CENTRO,MACROREGION CENTRO,PE-JUN,12,702.0,3573.0,-12.3117,-75.2892,NO
1064,110201.0,120201,12,JUNIN,1202,CONCEPCION,CONCEPCION,JUNIN,CENTRO,MACROREGION CENTRO,PE-JUN,12,18.0,3303.0,-11.9189,-75.3125,NO
1065,110202.0,120202,12,JUNIN,1202,CONCEPCION,ACO,JUNIN,CENTRO,MACROREGION CENTRO,PE-JUN,12,38.0,3474.0,-11.9581,-75.3683,NO
1075,110212.0,120212,12,JUNIN,1202,CONCEPCION,NUEVE DE JULIO,JUNIN,CENTRO,MACROREGION CENTRO,PE-JUN,12,7.0,3339.0,-11.8978,-75.3181,NO
1076,110213.0,120213,12,JUNIN,1202,CONCEPCION,ORCOTUNA,JUNIN,CENTRO,MACROREGION CENTRO,PE-JUN,12,45.0,3271.0,-11.9672,-75.3075,NO
1078,110214.0,120215,12,JUNIN,1202,CONCEPCION,SANTA ROSA DE OCOPA,JUNIN,CENTRO,MACROREGION CENTRO,PE-JUN,12,14.0,3396.0,-11.8772,-75.295,NO
1085,110301.0,120401,12,JUNIN,1204,JAUJA,JAUJA,JUNIN,CENTRO,MACROREGION CENTRO,PE-JUN,12,10.0,3425.0,-11.7756,-75.5006,NO
1086,110302.0,120402,12,JUNIN,1204,JAUJA,ACOLLA,JUNIN,CENTRO,MACROREGION CENTRO,PE-JUN,12,122.0,3493.0,-11.7311,-75.5467,NO
1087,110303.0,120403,12,JUNIN,1204,JAUJA,APATA,JUNIN,CENTRO,MACROREGION CENTRO,PE-JUN,12,422.0,3359.0,-11.8553,-75.3544,NO
1088,110304.0,120404,12,JUNIN,1204,JAUJA,ATAURA,JUNIN,CENTRO,MACROREGION CENTRO,PE-JUN,12,6.0,3364.0,-11.8028,-75.4389,NO
1119,110401.0,120501,12,JUNIN,1205,JUNIN,JUNIN,JUNIN,CENTRO,MACROREGION CENTRO,PE-JUN,12,884.0,4127.0,-11.1614,-75.9983,NO
1120,110402.0,120502,12,JUNIN,1205,JUNIN,CARHUAMAYO,JUNIN,CENTRO,MACROREGION CENTRO,PE-JUN,12,220.0,4154.0,-10.9228,-76.0578,NO
1121,110403.0,120503,12,JUNIN,1205,JUNIN,ONDORES,JUNIN,CENTRO,MACROREGION CENTRO,PE-JUN,12,254.0,4108.0,-11.0836,-76.1467,NO
1122,110404.0,120504,12,JUNIN,1205,JUNIN,ULCUMAYO,JUNIN,CENTRO,MACROREGION CENTRO,PE-JUN,12,1129.0,3636.0,-10.9675,-75.8781,NO
1161,120110.0,130102,13,LA LIBERTAD,1301,TRUJILLO,EL PORVENIR,LA LIBERTAD,NORTE,MACROREGION NORTE,PE-LAL,13,37.0,92.0,-8.0881,-78.9978,NO
1167,120109.0,130108,13,LA LIBERTAD,1301,TRUJILLO,POROTO,LA LIBERTAD,NORTE,MACROREGION NORTE,PE-LAL,13,276.0,659.0,-8.0114,-78.7678,NO
1192,120401.0,130601,13,LA LIBERTAD,1306,OTUZCO,OTUZCO,LA LIBERTAD,NORTE,MACROREGION NORTE,PE-LAL,13,444.0,2701.0,-7.9022,-78.5656,NO
1193,120402.0,130602,13,LA LIBERTAD,1306,OTUZCO,AGALLPAMPA,LA LIBERTAD,NORTE,MACROREGION NORTE,PE-LAL,13,259.0,3143.0,-7.9819,-78.5467,NO
1202,120501.0,130701,13,LA LIBERTAD,1307,PACASMAYO,SAN PEDRO DE LLOC,LA LIBERTAD,NORTE,MACROREGION NORTE,PE-LAL,13,697.0,49.0,-7.4183,-79.5147,NO
1203,120503.0,130702,13,LA LIBERTAD,1307,PACASMAYO,GUADALUPE,LA LIBERTAD,NORTE,MACROREGION NORTE,PE-LAL,13,165.0,124.0,-7.2436,-79.4703,NO
1204,120504.0,130703,13,LA LIBERTAD,1307,PACASMAYO,JEQUETEPEQUE,LA LIBERTAD,NORTE,MACROREGION NORTE,PE-LAL,13,51.0,13.0,-7.3375,-79.5631,NO
1236,121101.0,131101,13,LA LIBERTAD,1311,GRAN CHIMU,CASCAS,LA LIBERTAD,NORTE,MACROREGION NORTE,PE-LAL,13,466.0,1278.0,-7.4794,-78.8197,NO
1237,121102.0,131102,13,LA LIBERTAD,1311,GRAN CHIMU,LUCMA,LA LIBERTAD,NORTE,MACROREGION NORTE,PE-LAL,13,280.0,2192.0,-7.6406,-78.5522,NO
1258,130116.0,140116,14,LAMBAYEQUE,1401,CHICLAYO,CAYALTI,LAMBAYEQUE,NORTE,MACROREGION NORTE,PE-LAM,14,163.0,86.0,-6.8917,-79.5622,NO
1259,130117.0,140117,14,LAMBAYEQUE,1401,CHICLAYO,PATAPO,LAMBAYEQUE,NORTE,MACROREGION NORTE,PE-LAM,14,183.0,113.0,-6.7356,-79.6347,NO
1260,130118.0,140118,14,LAMBAYEQUE,1401,CHICLAYO,POMALCA,LAMBAYEQUE,NORTE,MACROREGION NORTE,PE-LAM,14,80.0,61.0,-6.77,-79.7753,NO
1301,140117.0,150121,15,LIMA,1501,LIMA,PUEBLO LIBRE,LIMA PROVINCIA,LIMA METROPOLITANA,LIMA Y CALLAO,PE-LMA,26,4.0,114.0,-12.0781,-77.0625,NO
1303,140116.0,150123,15,LIMA,1501,LIMA,PACHACAMAC,LIMA PROVINCIA,LIMA METROPOLITANA,LIMA Y CALLAO,PE-LMA,26,160.0,68.0,-12.1872,-76.8667,NO
1304,140118.0,150124,15,LIMA,1501,LIMA,PUCUSANA,LIMA PROVINCIA,LIMA METROPOLITANA,LIMA Y CALLAO,PE-LMA,26,37.0,26.0,-12.4817,-76.7975,NO
