,vegetables,fruits,legumes_and_tubers,beverages_and_drinks,fish_and_seafood,oils_and_fats,condiments_and_spices,grains_and_cereals,rice_products,dairy_products,meat_products,pastries,breads,eggs
0,Papa Blanca,MANDARINA,Lenteja,Whisky,Pescado Jurel,Aceite Compuesto Envasado,Sal de Cocina Yodada (Env,HARINA DE MAIZ,Arroz Corriente a Granel,Leche Evaporada,Carne de Res Bistec,Biscocho,PAN BAGUETTE,Huevos a Granel de Gallin
1,Brocoli,Papaya,Frijol Canario,Ron,Pescado Boquichico,Aceite Vegetal Envasado,Sal a Granel,Maiz Blanco (cancha),Arroz Envasado Superior,Leche en Polvo,Carne de Res Churrasco,Torta,PAN CIABATA,Huevos de Taricaya (Tortu
2,Papa Amarilla,Naranja de Jugo,Arveja Seca Partida,Pisco,Pescado Bonito,Aceite Vegetal a Granel,Sal de Mesa Yodada (envas,Maiz Amarillo (cancha),Arroz Extra Envasado,Leche Fresca de Vaca,Carne de Res Sancochado,Empanada,PAN CON CARNE,Huevos de Codorniz
3,Papa Huayro,Mandarina,Habas Secas,Cerveza,Pescado Caballa,Margarina a Granel,SAL MARAS,Maiz Morado,Arroz Extra a Granel,Leche Evaporada con Hierr,Carne de Res Molida,Galleta de Soda,PAN CON HUEVO,HUEVO A GRANEL DE GALLINA
4,Papa de Color (rosada),Platano de Seda,Pallar,Vino,Pescado Toyo,Margarina Envasada,Aji Rocoto,Chochoca,ARROZ CORRIENTE A GRANEL,Leche Evaporada Light,Carne de Res Corte único,Galleta de Soda Envasada,PAN CON JAMON,HUEVO DE GALLINA DE CORRA
5,Chuño entero Negro,Platano de la Isla,FRIJOL COCINADO,Gaseosa,Pescado Cojinova,Mantequilla a Granel,Aji Verde,Maiz Pelado Mote,ARROZ ENVASADO SUPERIOR,Leche de Soya (con lactos,Carne de Cordero,Galleta dulce,PAN CON PALTA,HUEVO DE CHARAPA COCINADO
6,Zanahoria,PIÑA,FRIJOL CANARIO COCIDO,Agua Mineral,Pescado Liza,Mantequilla Envasada,Aji Pimiento,MAÍZ REVENTÓN (POP-CORN),ARROZ CHAUFA CON HUEVO FR,LECHE CHOCOLATADA,Carne de Chancho,GALLETA PARA PERRO,PAN CON POLLO,HUEVO DE GRANEL DE GALLIN
7,Zapallo Macre,Manzana Corriente,LENTEJITA COCINADA,Jugos Envasados,Pescado Merluza,ACEITE DE OLIVO,Aji no moto,MAIZ POP CORN,ARROZ CHAUFA CON MADURO F,LECHE EVAPORADA DESLACTOS,Carne de Alpaca,GALLETAS RELLENAS ENVASAD,PAN CON QUESO,
8,Zapallo Loche,Piña,FRIJOL CHICLAYO COCIDO,REFRESCO PREPARADO,Pescado Pejerrey,ACEITE DE SOYA,Sibarita,MAIZ MOTE COCINADO,ARROZ CHAUFA CON POLLO A,LECHE DE SOYA SIN LACTOSA,Cuy en Pie o Vivo,GALLETAS DULCES ENVASADAS,PAN CORBATA,
9,Camote Amarillo,Uva,FRIJOL UCAYALINO COCIDO,REFRESCO DE CHICHA MORADA,Pescado Perico,MAYONESA,Comino Molido,MAIZ CHANCADO,ARROZ CHAUFA CON SALCHICH,LECHE EVAPORADA,HIGADO DE RES,GALLETA VAINILLA ENVASADA,PAN CORRIENTE,
